bank,證券商名稱,開業日,地址,電話
9824,元大向上,,,
9825,元大新營,,,
9829,元大南永康,,,
982A,元大羅東,,,
982B,元大博愛,,,
982C,元大六合,,,
982F,元大忠鼎,,,
9831,元大四維,,,
9833,元大敦化,,,
9834,元大中壢,,,
9835,元大員林中,,,
9837,元大北港,,,
9838,元大豐原,,,
983B,元大林森,,,
983G,元大上新莊,,,
983K,元大學甲,,,
983M,元大木柵,,,
983N,元大大安,,,
983U,元大頭份,,,
983V,元大竹南,,,
983W,元大德芳,,,
983Z,元大鳳山,,,
983f,元大竹東,,,
983i,元大大雅,,,
983j,元大仁愛,,,
9846,元大大直,,,
984C,元大新店,,,
984E,元大南勢角,,,
984H,元大景美,,,
984K,元大館前,,,
9852,元大永春,,,
9853,元大南屯,,,
9854,元大文心興,,,
9856,元大花蓮,,,
9857,元大東蘆,,,
9858,元大龍潭,,,
9859,元大新竹經,,,
985C,元大鳳中,,,
9862,元大南京,,,
9863,元大和平,,,
9867,元大北成功,,,
9868,元大文心,,,
9869,元大新盛,,,
986K,元大基隆孝,,,
9871,元大忠孝,,,
9872,元大復北,,,
9873,元大西門,,,
9874,元大雙和,,,
9875,元大土城永,,,
9878,元大金華,,,
9879,元大板橋三,,,
987A,元大楊梅,,,
9884,元大斗信,,,
9887,元大總公司,,,
9888,元大鑫永和,,,
9889,元大員林,,,
988B,元大桃園,,,
988C,元大三重,,,
988V,元大長庚,,,
9891,元大永和,,,
9892,元大屏東,,,
9893,元大大天母,,,
9894,元大桃興,,,
9896,元大台南,,,
9897,元大土城,,,
9898,元大新莊,,,
9899,元大淡水,,,
989A,元大北投,,,
989B,元大台中港,,,
989C,元大板橋,,,
989D,元大左營,,,
989E,元大草屯,,,
989F,元大高雄,,,
989G,元大大同,,,
989I,元大蘆洲,,,
989J,元大彰化,,,
989L,元大成功,,,
989N,元大內湖,,,
989P,元大敦南,,,
989Q,元大汐止,,,
989S,元大鹿港,,,
989U,元大大甲,,,
989V,元大北三重,,,
989W,元大豐原,,,
989X,元大民生,,,
989Y,元大基隆,,,
989Z,元大小港,,,
989a,元大苑裡,,,
989d,元大北屯,,,
989e,元大中和,,,
989f,元大東港,,,
989g,元大嘉義,,,
989j,元大樹林,,,
989k,元大古亭,,,
989m,元大信義,,,
980T,元大自營,,,
9A00,永豐金,,,
9A61,永豐金鳳山,,,
9A69,永豐金屏東,,,
9A79,永豐金埔里,,,
9A89,永豐金敦北,,,
9A8F,永豐金敦南,,,
9A91,永豐金松山,,,
9A92,永豐金萬盛,,,
9A95,永豐金,,,
9A96,永豐金博愛,,,
9A97,永豐金新竹,,,
9A98,永豐金大園,,,
9A99,永豐金中壢,,,
9A9A,永豐金羅東,,,
9A9B,永豐金中和,,,
9A9C,永豐金員林,,,
9A9D,永豐金忠孝,,,
9A9E,永豐金板橋,,,
9A9G,永豐金天母,,,
9A9H,永豐金新莊,,,
9A9J,永豐金板新,,,
9A9K,永豐金三重,,,
9A9L,永豐金台中,,,
9A9M,永豐金南投,,,
9A9N,永豐金桃盛,,,
9A9P,永豐金竹北,,,
9A9Q,永豐金豐原,,,
9A9R,永豐金信義,,,
9A9S,永豐金南京,,,
9A9U,永豐金中正,,,
9A9W,永豐金市政,,,
9A9X,永豐金竹科,,,
9A9Y,永豐金板盛,,,
9A9Z,永豐金復興,,,
9A9a,永豐金苓雅,,,
9A9b,永豐金虎尾,,,
9A9c,永豐金永康,,,
9A9d,永豐金古亭,,,
9A9e,永豐金高雄,,,
9A9f,永豐金中盛,,,
9A9g,永豐金內湖,,,
9A9h,永豐金台南,,,
9A9i,永豐金新店,,,
9A9j,永豐金嘉義,,,
9A9q,永豐金潮洲,,,
9A9r,永豐金鹽埕,,,
9A9s,永豐金彰化,,,
9A9x,永豐金桃園,,,
9A0T,永豐金自營,,,
